№,Ige (HU),Infinitivus,Példamondat (HU),Verb (EN),Sentence (EN),Audio
191,élvez,élvezni,Nyáron nagyon élvezem a tengerpartot.,to enjoy,In summer I really enjoy the beach.,0191_elvez_m.mp3
192,zár,zárni,Este mindig kulcsra zárom az ajtót.,to lock,In the evening I always lock the door.,0192_zar_m.mp3
193,gratulál,gratulálni,Szívből gratulálok a sikeredhez!,to congratulate,I wholeheartedly congratulate you on your success!,0193_gratulal_m.mp3
194,elfogad,elfogadni,Mindig elfogadom a segítségedet.,to accept,I always accept your help.,0194_elfogad_m.mp3
195,befejez,befejezni,Holnap befejezem a munkát.,to finish,I will finish the work tomorrow.,0195_befejez_m.mp3
196,megígér,megígérni,"Megígérem, hogy holnap korán jövök.",to promise,I promise that I will come early tomorrow.,0196_megiger_m.mp3
197,tervez,tervezni,Nyáron Olaszországba tervezünk utazni.,to plan,We are planning to travel to Italy in the summer.,0197_tervez_m.mp3
198,megkér,megkérni,Megkértem őt egy kis segítségre.,to ask (for help),I asked him for a little help.,0198_megker_m.mp3
199,megkérdez,megkérdezni,Megkérdezem az utat egy rendőrtől.,to ask (directions),I will ask a police officer for directions.,0199_megkerdez_m.mp3
200,elhisz,elhinni,Nem hiszem el ezt a történetet.,to believe,I don't believe this story.,0200_elhisz_m.mp3
201,kitalál,kitalálni,Sosem tudom kitalálni a jó megoldást.,to figure out,I can never figure out the right solution.,0201_kitalal_m.mp3
202,táncol,táncolni,Este szívesen táncolunk a barátainkkal.,to dance,In the evenings we love dancing with our friends.,0202_tancol_m.mp3
203,szórakozik,szórakozni,Esténként a barátaimmal szórakozom.,"to have fun, to enjoy oneself",In the evenings I have fun with my friends.,0203_szorakozik_m.mp3
204,véd,védeni,A kapus jól védi a kaput a meccsen.,"to defend, to guard",The goalkeeper defends the goal well during the match.,0204_ved_m.mp3
205,ver,verni,Erősen verem az ajtót.,"to bang, to pound",I am banging hard on the door.,0205_ver_m.mp3
206,törődik,törődni,Sokat törődöm az egészségemmel.,"to take care of, to look after",I take care of my health a lot.,0206_torodik_m.mp3
207,változtat,változtatni,Néha változtatok a terveimen.,"to change, to alter",Sometimes I change my plans.,0207_valtoztat_m.mp3
208,tör,törni,Néha török egy poharat.,to break,Sometimes I break a glass.,0208_tor_m.mp3
209,halad,haladni,A vonat gyorsan halad a hegyek között.,"to move, to travel",The train moves quickly through the mountains.,0209_halad_m.mp3
210,kel,kelni,Minden reggel hatkor kelek.,"to get up, to rise",I get up at six every morning.,0210_kel_m.mp3
211,kezel,kezelni,Jól kezelem a betegeket.,to treat (patients),I treat patients well.,0211_kezel_m.mp3
212,kapcsol,kapcsolni,Most a másik csatornára kapcsolok.,to switch (channels),I'm switching to the other channel now.,0212_kapcsol_m.mp3
213,támad,támadni,Néha a kutyák hirtelen támadnak.,to attack,Sometimes dogs attack suddenly.,0213_tamad_m.mp3
214,ellop,ellopni,Tegnap ellopták a biciklimet.,to steal,Someone stole my bicycle yesterday.,0214_ellop_m.mp3
215,megold,megoldani,Gyorsan megoldottam a feladatot.,"to solve, to complete",I solved the task quickly.,0215_megold_m.mp3
216,megvéd,megvédeni,Mindig megvédelek a barátaid előtt.,"to defend, to stand up for",I always stand up for you in front of your friends.,0216_megved_m.mp3
217,intéz,intézni,Holnap intézem a banki ügyeket.,"to take care of, to sort out",I'm sorting out my banking tomorrow.,0217_intez_m.mp3
218,mer,merni,Nem merek éjszaka egyedül hazamenni.,to dare,I don't dare go home alone at night.,0218_mer_m.mp3
219,rak,rakni,A könyveket az asztalra rakom.,"to put, to place",I'm putting the books on the table.,0219_rak_m.mp3
220,irányít,irányítani,Ő irányítja a nagy projektet.,"to manage, to lead",They manage the big project.,0220_iranyit_m.mp3
221,bejön,bejönni,Mindig korán bejövök az irodába.,to come in,I always come into the office early.,0221_bejon_m.mp3
222,gondolkozik,gondolkozni,Most a holnapi vacsorán gondolkozom.,to think about,I'm thinking about tomorrow's dinner right now.,0222_gondolkozik_m.mp3
223,ellenőriz,ellenőrizni,Reggel mindig ellenőrzöm az e-mailjeimet.,"to check, to verify",I always check my emails in the morning.,0223_ellenoriz_m.mp3
224,visszamegy,visszamenni,Holnap visszamegyek a boltba.,"to go back, to return",I'm going back to the store tomorrow.,0224_visszamegy_m.mp3
225,bizonyít,bizonyítani,A rendőröknek könnyen bizonyítottam az igazamat.,"to prove, to demonstrate",I easily proved my point to the police officers.,0225_bizonyit_m.mp3
226,megváltozik,megváltozni,Az időjárás hirtelen megváltozott délután.,"to change, to shift",The weather suddenly changed in the afternoon.,0226_megvaltozik_m.mp3
227,énekel,énekelni,A zuhany alatt mindig énekelek.,to sing,I always sing in the shower.,0227_enekel_m.mp3
228,bemegy,bemenni,Reggel korán bemegyek az irodába.,"to go in, to head into (a place)",I go into the office early in the morning.,0228_bemegy_m.mp3
229,telik,telni,Az idő gyorsan telik a munkahelyen.,"to pass (of time), to go by",Time passes quickly at work.,0229_telik_m.mp3
230,köt,kötni,Most egy meleg sálat kötök.,to knit,I'm knitting a warm scarf right now.,0230_kot_m.mp3
