№,Ige (HU),Infinitivus,Példamondat (HU),Глагол (RU),Перевод (RU),Audio
17,kér,kérni,"Kérek egy pohár vizet, legyen szíves.",просить,"Можно мне стакан воды, пожалуйста?",0017_ker_m.mp3
18,beszél,beszélni,Jól beszélek magyarul.,"говорить, разговаривать",Я хорошо говорю по-венгерски.,0018_beszel_m.mp3
19,gondol,gondolni,Gyakran gondolok a nyaralásra.,думать,Я часто думаю об отпуске.,0019_gondol_m.mp3
20,ért,érteni,Most már jól értem a feladatot.,понимать,Теперь я уже хорошо понимаю задание.,0020_ert_m.mp3
21,vár,várni,A buszra várok a megállóban.,ждать,Я жду автобус на остановке.,0021_var_m.mp3
22,köszön,köszönni,Reggel mindig köszönök a szomszédoknak.,здороваться; благодарить,Утром я всегда здороваюсь с соседями.,0022_koszon_m.mp3
23,ad,adni,Most adok neked egy pohár vizet.,давать / дать,Сейчас я дам тебе стакан воды.,0023_ad_m.mp3
24,vesz,venni,Reggel mindig veszek friss kenyeret.,брать; покупать,Утром я всегда покупаю свежий хлеб.,0024_vesz_m.mp3
25,hagy,hagyni,A kulcsot az asztalon hagytam.,оставлять; позволять,Я оставил ключ на столе.,0025_hagy_m.mp3
26,áll,állni,A buszmegállóban állok és várok.,стоять,Я стою на автобусной остановке и жду.,0026_all_m.mp3
27,tart,tartani,A film két óráig tart.,длиться; держать,Фильм длится два часа.,0027_tart_m.mp3
28,talál,találni,Mindig találok jó könyveket a könyvtárban.,находить / найти,Я всегда нахожу хорошие книги в библиотеке.,0028_talal_m.mp3
29,marad,maradni,Ma este otthon maradok.,оставаться / остаться,Сегодня вечером я останусь дома.,0029_marad_m.mp3
30,hív,hívni,Este mindig hívlak telefonon.,звоню,Я всегда звоню тебе вечером по телефону.,0030_hiv_m.mp3
31,hall,hallani,Jól hallak a telefonon.,слышать,Я хорошо тебя слышу по телефону.,0031_hall_m.mp3
32,sajnál,sajnálni,Nagyon sajnálom ezt a hibát.,сожалеть; жалеть,Я очень сожалею об этой ошибке.,0032_sajnal_m.mp3
33,kap,kapni,Minden reggel friss kenyeret kapok a boltban.,получать / получить,Каждое утро я получаю свежий хлеб в магазине.,0033_kap_m.mp3
34,érez,érezni,Ma reggel nagyon jól érzem magam.,чувствовать,Сегодня утром я чувствую себя очень хорошо.,0034_erez_m.mp3
35,segít,segíteni,Szívesen segítek neked holnap.,помогать / помочь,Я с удовольствием помогу тебе завтра.,0035_segit_m.mp3
36,hoz,hozni,Mindig hozok ajándékot a buliba.,приносить / принести,Я всегда приношу подарок на вечеринку.,0036_hoz_m.mp3
37,ismer,ismerni,Jól ismerem ezt a várost.,знать (быть знакомым),Я хорошо знаю этот город.,0037_ismer_m.mp3
38,figyel,figyelni,Most figyelek a tanárra.,внимательно слушать; следить,Сейчас я слушаю учителя (внимательно).,0038_figyel_m.mp3
39,dolgozik,dolgozni,Egy nagy gyárban dolgozom.,работать,Я работаю на большом заводе.,0039_dolgozik_m.mp3
40,él,élni,Egy kis faluban élek.,жить,Я живу в маленькой деревне.,0040_el_m.mp3
41,találkozik,találkozni,Holnap találkozunk a kávézóban.,встречаться / встретиться,Завтра мы встретимся в кафе.,0041_talalkozik_m.mp3
42,próbál,próbálni,Ma este próbálunk korán lefeküdni.,пробовать,Сегодня вечером мы постараемся лечь спать пораньше.,0042_probal_m.mp3
43,keres,keresni,A munkámmal jól keresek.,искать; зарабатывать,Я хорошо зарабатываю своей работой.,0043_keres_m.mp3
44,tűnik,tűnni,Ma nagyon fáradtnak tűnsz.,казаться,Сегодня ты кажешься очень усталым.,0044_tunik_m.mp3
45,szól,szólni,A telefonom most szól a táskában.,"звучать, звонить; обращаться",Мой телефон сейчас звонит в сумке.,0045_szol_m.mp3
46,kezd,kezdeni,Reggel mindig kávéval kezdem a napot.,начинать / начать,Утром я всегда начинаю день с кофе.,0046_kezd_m.mp3
47,elmegy,elmenni,Holnap reggel elmegyek a boltba.,"уходить / уйти, уезжать",Завтра утром я схожу в магазин.,0047_elmegy_m.mp3
48,meghal,meghalni,Majdnem meghaltam a nevetéstől.,умирать / умереть,Я чуть не умер от смеха.,0048_meghal_m.mp3
49,jelent,jelenteni,"Ez a szó magyarul „víz""-et jelent.",означать,Это слово по-венгерски означает «вода».,0049_jelent_m.mp3
50,visz,vinni,Holnap viszek egy könyvet a barátomnak.,"нести, относить, везти",Завтра я отнесу книгу своему другу.,0050_visz_m.mp3
51,lehet,lehetni,Itt nem lehet parkolni.,"можно, возможно",Здесь нельзя парковаться.,0051_lehet_m.mp3
52,jár,járni,Minden reggel gyalog járok dolgozni.,"ходить, бывать; работать (о механизме)",Каждое утро я хожу на работу пешком.,0052_jar_m.mp3
53,megöl,megölni,Tegnap megöltem egy farkast.,убил,Вчера я убил волка.,0053_megol_m.mp3
54,ér,érni,Ez nagyon sokat ér nekem.,стоить (иметь цену); достигать,Это для меня очень дорого.,0054_er_m.mp3
55,elmond,elmondani,Holnap elmondom neked a titkomat.,рассказать,Завтра я расскажу тебе свой секрет.,0055_elmond_m.mp3
56,emlékszik,emlékezni,Jól emlékszem a tegnapi napra.,помнить,Я хорошо помню вчерашний день.,0056_emlekszik_m.mp3
57,örül,örülni,Nagyon örülök az ajándéknak.,радоваться (чему-л.),Я очень рад(а) подарку.,0057_orul_m.mp3
58,öl,ölni,A macska gyakran öl egeret.,убивать,Кошка часто убивает мышей.,0058_ol_m.mp3
59,ír,írni,Minden reggel írok egy üzenetet.,писать,Каждое утро я пишу одно сообщение.,0059_ir_m.mp3
60,enged,engedni,Nem engedi a kutyát az ágyra.,"пускать, позволять",Он не пускает собаку на кровать.,0060_enged_m.mp3
61,remél,remélni,"Remélem, holnap szép idő lesz.",надеяться,"Надеюсь, завтра будет хорошая погода.",0061_remel_m.mp3
62,használ,használni,Minden nap használom ezt a szótárt.,использовать,Я каждый день использую этот словарь.,0062_hasznal_m.mp3
63,megtalál,megtalálni,Végre megtaláltam a kulcsomat a táskában.,находить / найти,Я наконец нашёл свой ключ в сумке.,0063_megtalal_m.mp3
64,érdekel,érdekelni,Engem nagyon érdekel a magyar történelem.,интересовать,Меня очень интересует венгерская история.,0064_erdekel_m.mp3
65,aggódik,aggódni,Mindig aggódom a vizsga előtt.,"волноваться, беспокоиться",Я всегда волнуюсь перед экзаменом.,0065_aggodik_m.mp3
66,megvan,meglenni,"Megvan a kulcsom, mehetünk.","иметься, быть в наличии","Ключ у меня есть, можем идти.",0066_megvan_m.mp3
67,ül,ülni,Este a kanapén ülök és olvasok.,сидеть,Вечером я сижу на диване и читаю.,0067_ul_m.mp3
68,tetszik,tetszeni,Nagyon tetszik ez a piros kabát.,нравиться,Мне очень нравится это красное пальто.,0068_tetszik_m.mp3
69,tehet,tehetni,"Holnap azt teheted, amit akarsz.",мочь сделать,"Завтра ты можешь делать то, что захочешь.",0069_tehet_m.mp3
70,hal,halni,Te is éhen halsz egyszer.,умирать,Ты тоже однажды умрёшь от голода.,0070_hal_m.mp3
71,kerül,kerülni,Mennyibe kerül ez a kávé?,стоить,Сколько стоит этот кофе?,0071_kerul_m.mp3
72,történik,történni,Mi történik most odakint?,происходить / произойти,Что происходит сейчас снаружи?,0072_tortenik_m.mp3
73,megtesz,megtenni,Mindent megteszek a sikerért.,"сделать, совершить",Я делаю всё ради успеха.,0073_megtesz_m.mp3
74,kérdez,kérdezni,Mindig sokat kérdezek az órán.,спрашивать,Я всегда много спрашиваю на уроке.,0074_kerdez_m.mp3
75,mutat,mutatni,A térképen mutatom az utat.,показывать / показать,Я показываю дорогу на карте.,0075_mutat_m.mp3
76,játszik,játszani,A gyerekek délután a parkban játszanak.,играть,Дети днём играют в парке.,0076_jatszik_m.mp3
77,végez,végezni,Ma korán végzek a munkával.,заканчивать; выполнять,Сегодня я рано заканчиваю с работой.,0077_vegez_m.mp3
78,hallgat,hallgatni,Esténként szívesen hallgatok zenét.,слушать,По вечерам я с удовольствием слушаю музыку.,0078_hallgat_m.mp3
79,küld,küldeni,Minden reggel küldök egy üzenetet a barátomnak.,посылать / послать,Каждое утро я посылаю сообщение моему другу.,0079_kuld_m.mp3
80,számít,számítani,"Mindig számíthatsz rám, ha baj van.",рассчитывать (на кого-то); иметь значение,"Ты всегда можешь рассчитывать на меня, если случится беда.",0080_szamit_m.mp3
81,követ,követni,Minden reggel követem a híreket.,следить за / следовать,Каждое утро я слежу за новостями.,0081_kovet_m.mp3
82,eszik,enni,Reggel mindig kenyeret eszem.,"есть, кушать",Утром я всегда ем хлеб.,0082_eszik_m.mp3
83,vigyáz,vigyázni,"Vigyázz, nagyon csúszós az út!","беречь, присматривать; быть осторожным","Осторожно, дорога очень скользкая!",0083_vigyaz_m.mp3
84,jut,jutni,Hogyan jutok a pályaudvarra?,попадать,Как мне попасть на вокзал?,0084_jut_m.mp3
85,alszik,aludni,Este mindig sokat alszom.,спать,Вечером я всегда много сплю.,0085_alszik_m.mp3
86,megért,megérteni,Végre megértettem a feladatot.,понял,Наконец-то я понял задание.,0086_megert_m.mp3
87,ég,égni,A napon gyorsan égek.,обгораю,На солнце я быстро обгораю.,0087_eg_m.mp3
88,mehet,mehetni,Most már mehetsz haza.,"можно идти, мочь идти",Теперь ты уже можешь идти домой.,0088_mehet_m.mp3
89,szerez,szerezni,Holnap szerzek két jegyet a koncertre.,"доставать, добывать",Завтра я достану два билета на концерт.,0089_szerez_m.mp3
90,megpróbál,megpróbálni,Holnap megpróbálom megfőzni a levest.,"попробовать, попытаться",Завтра я попробую сварить суп.,0090_megprobal_m.mp3
91,indul,indulni,Holnap reggel hatkor indulunk a tengerhez.,отправляться / отправиться,Завтра утром в шесть мы отправляемся к морю.,0091_indul_m.mp3
92,iszik,inni,Reggel mindig kávét iszik.,пить,Утром он всегда пьёт кофе.,0092_iszik_m.mp3
93,fizet,fizetni,Mindig kártyával fizetek a boltban.,платить / заплатить,Я всегда плачу картой в магазине.,0093_fizet_m.mp3
94,vezet,vezetni,Minden reggel autót vezetek.,веду,Каждое утро я веду машину.,0094_vezet_m.mp3
95,sikerül,sikerülni,Végre sikerült megtalálnom a kulcsot.,удаваться / удаться,Наконец-то мне удалось найти ключ.,0095_sikerul_m.mp3
96,eljön,eljönni,Holnap este eljövök hozzátok vacsorára.,приходить / прийти,Завтра вечером я приду к вам на ужин.,0096_eljon_m.mp3
97,működik,működni,A telefonom most jól működik.,"работать, функционировать (об устройстве)",Мой телефон сейчас хорошо работает.,0097_mukodik_m.mp3
98,fogad,fogadni,Ma este vendégeket fogadunk.,принимать; держать пари,Сегодня вечером мы принимаем гостей.,0098_fogad_m.mp3
99,állít,állítani,"Mindig azt állítja, hogy igaza van.",утверждать,"Он всегда утверждает, что прав.",0099_allit_m.mp3
100,megmond,megmondani,Mindjárt megmondom neked az igazat.,"сказать, высказать",Сейчас я скажу тебе правду.,0100_megmond_m.mp3
101,nyit,nyitni,Reggel nyolckor nyitom az üzletet.,открывать / открыть,Я открываю магазин в восемь утра.,0101_nyit_m.mp3
102,esik,esni,Ma egész nap esik az eső.,идти (о дожде); падать,Сегодня весь день идёт дождь.,0102_esik_m.mp3
103,elvisz,elvinni,Holnap elviszlek az állomásra.,"увезти, отвезти, забрать",Завтра я отвезу тебя на вокзал.,0103_elvisz_m.mp3
104,imád,imádni,Imádom a csokoládét.,обожаю,Я обожаю шоколад.,0104_imad_m.mp3
105,folyik,folyni,A víz lassan folyik a csapból.,течь,Вода медленно течёт из крана.,0105_folyik_m.mp3
106,felejt,felejteni,Mindig itt felejtem a kulcsomat.,забывать (оставлять где-то),Я всегда забываю здесь свой ключ.,0106_felejt_m.mp3
107,lép,lépni,Óvatosan lépek a jeges úton.,"шагать, ступать",Я осторожно ступаю по ледяной дороге.,0107_lep_m.mp3
108,nyer,nyerni,Tegnap nyertem egy szép könyvet.,выигрывать / выиграть,Вчера я выиграл красивую книгу.,0108_nyer_m.mp3
109,megnéz,megnézni,Este megnézünk egy jó filmet.,посмотреть,Вечером мы посмотрим хороший фильм.,0109_megnez_m.mp3
110,hazudik,hazudni,"Néha hazudik, hogy ne legyen baj.","лгать, врать","Иногда он врёт, чтобы не было проблем.",0110_hazudik_m.mp3
111,dönt,dönteni,Holnap döntök az új munkáról.,решать / решить,Завтра я приму решение о новой работе.,0111_dont_m.mp3
112,meglát,meglátni,Végre megláttam a tengert!,"увидеть, заметить",Я наконец-то увидел море!,0112_meglat_m.mp3
113,rájön,rájönni,Végre rájöttem a megoldásra.,"догадаться, понять",Я наконец понял решение.,0113_rajon_m.mp3
114,bír,bírni,Nem bírom tovább ezt a meleget.,выдерживать; мочь,Я больше не могу выносить эту жару.,0114_bir_m.mp3
115,száll,szállni,Holnap repülőre szállunk.,сядем,Завтра мы сядем на самолёт.,0115_szall_m.mp3
116,utál,utálni,Nagyon utálom a hideg időt.,ненавидеть,Я очень ненавижу холодную погоду.,0116_utal_m.mp3
117,elkap,elkapni,Gyorsan elkaptam a labdát.,поймал,Я быстро поймал мяч.,0117_elkap_m.mp3
118,hangzik,hangzani,Ez a dal nagyon szépen hangzik.,звучать,Эта песня звучит очень красиво.,0118_hangzik_m.mp3
119,hat,hatni,Te jól hatsz rám.,"действовать, влиять",Ты хорошо на меня влияешь.,0119_hat_m.mp3
120,tölt,tölteni,Sok időt töltök otthon hétvégén.,проводить (время); наливать,Я провожу много времени дома в выходные.,0120_tolt_m.mp3
121,tanul,tanulni,Minden este magyarul tanulok otthon.,"учить, учиться",Каждый вечер я учу венгерский дома.,0121_tanul_m.mp3
122,megkap,megkapni,Tegnap megkaptam az új telefonomat.,получить,Вчера я получил свой новый телефон.,0122_megkap_m.mp3
123,olvas,olvasni,Esténként szívesen olvasok egy jó könyvet.,читать,По вечерам я с удовольствием читаю хорошую книгу.,0123_olvas_m.mp3
124,tartozik,tartozni,Még tíz euróval tartozom neked.,быть должным; относиться,Я ещё должен тебе десять евро.,0124_tartozik_m.mp3
125,folytat,folytatni,Holnap folytatjuk a munkát.,продолжать / продолжить,Завтра мы продолжим работу.,0125_folytat_m.mp3
126,megtud,megtudni,Holnap megtudom az eredményt.,узнать (получить информацию),Завтра я узнаю результат.,0126_megtud_m.mp3
127,húz,húzni,Most húzom a nehéz bőröndöt.,"тянуть, тащить",Сейчас я тащу тяжёлый чемодан.,0127_huz_m.mp3
128,felhív,felhívni,Holnap reggel felhívom az orvost.,позвонить (по телефону),Завтра утром я позвоню врачу.,0128_felhiv_m.mp3
129,lő,lőni,Most a nyúlra lövök.,стрелять,Я сейчас стреляю в зайца.,0129_lo_m.mp3
130,mesél,mesélni,Esténként mindig mesél a barátainak.,рассказывать,По вечерам он всегда рассказывает своим друзьям.,0130_mesel_m.mp3
131,képzel,képzelni,Gyakran szebb jövőt képzelek magamnak.,"представлять, воображать",Я часто представляю себе лучшее будущее.,0131_kepzel_m.mp3
132,lakik,lakni,Egy kis faluban lakom.,"жить, проживать",Я живу в маленькой деревне.,0132_lakik_m.mp3
133,szokik,szokni,Reggel kávét szoktam inni.,"иметь обыкновение, обычно (делать)",По утрам я обычно пью кофе.,0133_szokik_m.mp3
134,hiányzik,hiányozni,Nagyon hiányzol nekem ma.,не хватать; отсутствовать,Мне очень тебя не хватает сегодня.,0134_hianyzik_m.mp3
135,tér,térni,Most másik útra térünk.,сворачивать,Сейчас мы сворачиваем на другую дорогу.,0135_ter_m.mp3
136,elfelejt,elfelejteni,Tegnap elfelejtettem a nevedet.,забыть,Вчера я забыл твоё имя.,0136_elfelejt_m.mp3
137,fáj,fájni,Reggel óta fáj a fejem.,болеть (об ощущении),С утра у меня болит голова.,0137_faj_m.mp3
138,fordít,fordítani,Minden este angol szöveget fordítok.,переводить,Каждый вечер я перевожу английский текст.,0138_fordit_m.mp3
139,készül,készülni,Holnap egy nehéz vizsgára készülök.,"готовиться, собираться",Завтра я готовлюсь к трудному экзамену.,0139_keszul_m.mp3
140,siet,sietni,Reggel mindig sietek a munkába.,"спешить, торопиться",Утром я всегда спешу на работу.,0140_siet_m.mp3
141,készít,készíteni,Ma finom levest készítek ebédre.,"готовить, изготавливать",Сегодня я готовлю вкусный суп на обед.,0141_keszit_m.mp3
142,dob,dobni,A labdát messzire dobom.,бросать / бросить,Я бросаю мяч далеко.,0142_dob_m.mp3
143,tűz,tűzni,Nyáron a nap erősen tűz délben.,прикалывать; печь (о солнце),Летом солнце сильно печёт в полдень.,0143_tuz_m.mp3
144,elkezd,elkezdeni,Tegnap elkezdtem egy új könyvet.,начать,Вчера я начал новую книгу.,0144_elkezd_m.mp3
145,beszélget,beszélgetni,Esténként szívesen beszélgetünk a teraszon.,"беседовать, разговаривать",По вечерам мы с удовольствием беседуем на террасе.,0145_beszelget_m.mp3
146,válaszol,válaszolni,Mindig gyorsan válaszolok az emailekre.,отвечать / ответить,Я всегда быстро отвечаю на письма.,0146_valaszol_m.mp3
147,megcsinál,megcsinálni,Holnap megcsinálom a házi feladatot.,сделать,Завтра я сделаю домашнее задание.,0147_megcsinal_m.mp3
148,válik,válni,Lassan jó barátokká válunk.,становиться,Мы постепенно становимся хорошими друзьями.,0148_valik_m.mp3
149,zavar,zavarni,"Ne haragudj, zavarlak egy percre?","мешать, беспокоить","Извини, я тебя побеспокою на минутку?",0149_zavar_m.mp3
150,fordul,fordulni,Most jobbra fordulunk a sarkon.,поворачивать(ся),Сейчас мы поворачиваем направо на углу.,0150_fordul_m.mp3
151,fut,futni,Reggel mindig futok a parkban.,"бежать, бегать",Утром я всегда бегаю в парке.,0151_fut_m.mp3
152,okoz,okozni,A vihar sok kárt okozott tegnap.,"причинять, вызывать",Вчера буря причинила много вреда.,0152_okoz_m.mp3
153,választ,választani,Mindig csokoládés fagylaltot választok.,выбирать / выбрать,Я всегда выбираю шоколадное мороженое.,0153_valaszt_m.mp3
154,vág,vágni,Most vágom a kenyeret.,режу,Сейчас я режу хлеб.,0154_vag_m.mp3
155,ígér,ígérni,Ígérek neked egy könyvet.,обещать,Я обещаю тебе книгу.,0155_iger_m.mp3
156,visszajön,visszajönni,Holnap visszajövök a könyvért.,"вернуться, прийти обратно",Завтра я вернусь за книгой.,0156_visszajon_m.mp3
157,harcol,harcolni,A katonák bátran harcolnak a háborúban.,"сражаться, бороться",Солдаты храбро сражаются на войне.,0157_harcol_m.mp3
158,sír,sírni,Egész éjjel sírtam.,плакал,Я плакал всю ночь.,0158_sir_m.mp3
159,elveszt,elveszteni,Tegnap elvesztettem a kulcsomat a parkban.,потерять,Вчера я потерял свой ключ в парке.,0159_elveszt_m.mp3
160,megmutat,megmutatni,Holnap megmutatom neked a várost.,показать,Завтра я покажу тебе город.,0160_megmutat_m.mp3
161,csúszik,csúszni,Télen gyakran csúszom a jégen.,скользить,Зимой я часто скольжу по льду.,0161_csuszik_m.mp3
162,látszik,látszani,A hegyek tisztán látszanak innen.,"виднеться, казаться",Горы отсюда хорошо видны.,0162_latszik_m.mp3
163,téved,tévedni,Néha én is tévedek a számolásban.,ошибаться,Иногда я тоже ошибаюсь в подсчётах.,0163_teved_m.mp3
164,üt,ütni,Néha ütöm a labdát.,бить,Я иногда бью по мячу.,0164_ut_m.mp3
165,viccel,viccelni,"Csak viccelek, ne haragudj!",шутить,"Я просто шучу, не сердись!",0165_viccel_m.mp3
166,bánt,bántani,"Ne bánts engem, kérlek!","обижать, причинять боль","Не обижай меня, пожалуйста!",0166_bant_m.mp3
167,érkezik,érkezni,A vonat tíz perc múlva érkezik.,прибывать,Поезд прибывает через десять минут.,0167_erkezik_m.mp3
168,megment,megmenteni,Tegnap megmentette a kutyát a folyóból.,спасти,Вчера он спас собаку из реки.,0168_megment_m.mp3
169,foglalkozik,foglalkozni,Esténként szívesen foglalkozom a kutyámmal.,заниматься (чем-либо),По вечерам я с удовольствием занимаюсь со своей собакой.,0169_foglalkozik_m.mp3
170,létezik,létezni,Szerintem léteznek földönkívüliek valahol.,существовать,"По-моему, где-то существуют инопланетяне.",0170_letezik_m.mp3
171,nevez,nevezni,Minek nevezed ezt magyarul?,называешь,Как ты это называешь по-венгерски?,0171_nevez_m.mp3
172,haragszik,haragudni,Sokszor haragszom a rossz időjárás miatt.,"сердиться, злиться",Я часто злюсь из-за плохой погоды.,0172_haragszik_m.mp3
173,visel,viselni,Télen mindig meleg sapkát viselek.,носить (одежду),Зимой я всегда ношу тёплую шапку.,0173_visel_m.mp3
174,kedvel,kedvelni,Nagyon kedvelem a kollégáimat.,"любить, симпатизировать",Мне очень симпатичны мои коллеги.,0174_kedvel_m.mp3
175,elhagy,elhagyni,Reggel elhagytam a házat.,"покидать, оставлять",Утром я покинул дом.,0175_elhagy_m.mp3
176,elvesz,elvenni,Elvette a jogosítványomat.,"отнять, забрать",Он забрал мои водительские права.,0176_elvesz_m.mp3
177,megtörténik,megtörténni,Velem is megtörtént ez tegnap.,случиться,Со мной это тоже вчера случилось.,0177_megtortenik_m.mp3
178,elér,elérni,Tegnap végre elértem a barátomat telefonon.,достичь; дозвониться,Вчера я наконец дозвонился до своего друга.,0178_eler_m.mp3
179,felvesz,felvenni,Reggel gyorsan felveszem a kabátomat.,надеть; поднять; принять,Утром я быстро надеваю своё пальто.,0179_felvesz_m.mp3
180,gondolkodik,gondolkodni,Most a válaszon gondolkodom.,думать,Сейчас я думаю над ответом.,0180_gondolkodik_m.mp3
181,bízik,bízni,Mindig bízom a barátaimban.,доверять (кому-л.),Я всегда доверяю своим друзьям.,0181_bizik_m.mp3
182,bán,bánni,Most már nagyon bánom a döntésemet.,"сожалеть, жалеть",Теперь я уже очень сожалею о своём решении.,0182_ban_m.mp3
183,változik,változni,Tavasszal gyorsan változik az időjárás.,"меняться, изменяться",Весной погода быстро меняется.,0183_valtozik_m.mp3
184,kíván,kívánni,Boldog születésnapot kívánok neked!,желать,Желаю тебе счастливого дня рождения!,0184_kivan_m.mp3
185,esküszik,esküdni,"Esküszöm, hogy mindig igazat mondok.","клясться, присягать","Клянусь, что всегда говорю правду.",0185_eskuszik_m.mp3
186,szed,szedni,Reggelente vitamint szedek.,собирать; принимать (лекарство),По утрам я принимаю витамины.,0186_szed_m.mp3
187,elintéz,elintézni,Holnap elintézem ezt a dolgot.,"уладить, устроить",Завтра я улажу это дело.,0187_elintez_m.mp3
188,visszatér,visszatérni,Holnap visszatérek a munkába.,возвращаться / вернуться,Завтра я вернусь на работу.,0188_visszater_m.mp3
189,kezdődik,kezdődni,A film este nyolckor kezdődik.,начинаться,Фильм начинается в восемь часов вечера.,0189_kezdodik_m.mp3
190,árul,árulni,A piacon friss gyümölcsöt árulnak.,продавать,На рынке продают свежие фрукты.,0190_arul_m.mp3
191,élvez,élvezni,Nyáron nagyon élvezem a tengerpartot.,"наслаждаться, получать удовольствие",Летом я очень наслаждаюсь пляжем.,0191_elvez_m.mp3
192,zár,zárni,Este mindig kulcsra zárom az ajtót.,запираю,Вечером я всегда запираю дверь на ключ.,0192_zar_m.mp3
193,gratulál,gratulálni,Szívből gratulálok a sikeredhez!,поздравлять / поздравить,От всего сердца поздравляю тебя с твоим успехом!,0193_gratulal_m.mp3
194,elfogad,elfogadni,Mindig elfogadom a segítségedet.,принимать / принять,Я всегда принимаю твою помощь.,0194_elfogad_m.mp3
195,befejez,befejezni,Holnap befejezem a munkát.,заканчивать / закончить,Завтра я закончу работу.,0195_befejez_m.mp3
196,megígér,megígérni,"Megígérem, hogy holnap korán jövök.",обещать / пообещать,"Обещаю, что завтра приду рано.",0196_megiger_m.mp3
197,tervez,tervezni,Nyáron Olaszországba tervezünk utazni.,планировать,Летом мы планируем поехать в Италию.,0197_tervez_m.mp3
198,megkér,megkérni,Megkértem őt egy kis segítségre.,попросить,Я попросил его о небольшой помощи.,0198_megker_m.mp3
199,megkérdez,megkérdezni,Megkérdezem az utat egy rendőrtől.,спросить,Я спрошу дорогу у полицейского.,0199_megkerdez_m.mp3
200,elhisz,elhinni,Nem hiszem el ezt a történetet.,верить,Я не верю этой истории.,0200_elhisz_m.mp3
201,kitalál,kitalálni,Sosem tudom kitalálni a jó megoldást.,придумать; угадать,Я никогда не могу придумать хорошее решение.,0201_kitalal_m.mp3
202,táncol,táncolni,Este szívesen táncolunk a barátainkkal.,танцевать,Вечером мы с удовольствием танцуем с друзьями.,0202_tancol_m.mp3
203,szórakozik,szórakozni,Esténként a barátaimmal szórakozom.,развлекаться,По вечерам я развлекаюсь с друзьями.,0203_szorakozik_m.mp3
204,véd,védeni,A kapus jól védi a kaput a meccsen.,защищать / защитить,Вратарь хорошо защищает ворота на матче.,0204_ved_m.mp3
205,ver,verni,Erősen verem az ajtót.,бить,Я сильно бью в дверь.,0205_ver_m.mp3
206,törődik,törődni,Sokat törődöm az egészségemmel.,заботиться (о ком/чём-л.),Я много забочусь о своём здоровье.,0206_torodik_m.mp3
207,változtat,változtatni,Néha változtatok a terveimen.,менять / изменять,Иногда я меняю свои планы.,0207_valtoztat_m.mp3
208,tör,törni,Néha török egy poharat.,разбивать,Иногда я разбиваю стакан.,0208_tor_m.mp3
209,halad,haladni,A vonat gyorsan halad a hegyek között.,"двигаться вперёд, продвигаться",Поезд быстро движется вперёд среди гор.,0209_halad_m.mp3
210,kel,kelni,Minden reggel hatkor kelek.,вставать,Я встаю каждое утро в шесть.,0210_kel_m.mp3
211,kezel,kezelni,Jól kezelem a betegeket.,лечу,Я хорошо лечу больных.,0211_kezel_m.mp3
212,kapcsol,kapcsolni,Most a másik csatornára kapcsolok.,переключу,Сейчас я переключу на другой канал.,0212_kapcsol_m.mp3
213,támad,támadni,Néha a kutyák hirtelen támadnak.,нападать,Иногда собаки внезапно нападают.,0213_tamad_m.mp3
214,ellop,ellopni,Tegnap ellopták a biciklimet.,украсть,Вчера у меня украли велосипед.,0214_ellop_m.mp3
